A:10-10,12-9,14-8,16-7,18-6,20-6,22-5,25-4,30-3,35-3,40-2,
B:10-20,12-17,14-15,16-13,18-11,20-10,22-9,25-8,30-6,35-5,40-5,
C:10-26,12-23,14-19,16-17,18-15,20-13,22-12,25-10,30-8,35-7,40-6,
D:10-30,12-26,14-22,16-19,18-16,20-15,22-13,25-11,30-9,35-8,40-7,
E:10-34,12-29,14-24,16-21,18-18,20-16,22-15,25-13,30-10,35-9,40-7,
F:10-37,12-32,14-27,16-23,18-20,20-18,22-16,25-14,30-11,35-9,40-8,
G:10-41,12-35,14-29,16-25,18-22,20-20,22-18,25-15,30-12,35-10,40-9,
H:10-45,12-38,14-32,16-17,18-24,20-21,22-19,25-17,30-13,35-11,40-0,
I:10-50,12-42,14-45,16-29,18-26,20-23,22-21,25-18,30-14,35-12,40-0,
J:10-54,12-45,14-37,16-32,18-28,20-25,22-22,25-19,30-15,35-13,40-0,
K:10-59,12-49,14-40,16-34,18-30,20-26,22-24,25-21,30-16,35-14,40-0,
L:10-64,12-53,14-43,16-37,18-32,20-28,22-25,25-22,30-17,35-0,40-0,
M:10-70,12-57,14-47,16-39,18-34,20-30,22-27,25-23,30-19,35-0,40-0,
N:10-75,12-62,14-50,16-42,18-36,20-32,22-29,25-25,30-20,35-0,40-0,
O:10-82,12-66,14-53,16-45,18-39,20-34,22-30,25-26,30-0,35-0,40-0,
P:10-88,12-71,14-57,16-48,18-41,20-36,22-32,25-28,30-0,35-0,40-0,
Q:10-95,12-76,14-61,16-50,18-43,20-28,22-34,25-29,30-0,35-0,40-0,
R:10-104,12-82,14-64,16-53,18-46,20-40,22-36,25-0,30-0,35-0,40-0,
S:10-112,12-88,14-68,16-56,18-48,20-42,22-37,25-0,30-0,35-0,40-0,
T:10-122,12-94,14-73,16-60,18-51,20-44,22-0,25-0,30-0,35-0,40-0,
U:10-133,12-101,14-77,16-63,18-53,20-45,22-0,25-0,30-0,35-0,40-0,
V:10-145,12-208,14-82,16-67,18-55,20-0,22-0,25-0,30-0,35-0,40-0,
W:10-160,12-116,14-87,16-70,18-56,20-0,22-0,25-0,30-0,35-0,40-0,
X:10-178,12-125,14-92,16-72,18-0,20-0,22-0,25-0,30-0,35-0,40-0,
Y:10-199,12-134,14-98,16-0,18-0,20-0,22-0,25-0,30-0,35-0,40-0,
Z:10-219,12-147,14-0,16-0,18-0,20-0,22-0,25-0,30-0,35-0,40-0,
